"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09"
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-11","6.26"," 0800","0.00",,,,"72","49","   10","  360","15.0","23.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-12","4.92"," 0703","0.00",,,,"76","52","   60","   90","18.1","38.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-13","4.92"," 1624","0.00",,,,"68","51","  190","  140","13.0","23.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-14","6.71"," 1027","0.00",,,,"66","56","  200","  210","14.1","21.0",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-15","5.37"," 1530","1.16",,,,"79","59","  120","  130","15.0","21.9","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-16","8.05"," 0933","0.02",,,,"63","54","   90","   90","17.0","25.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-17","10.74"," 1111","0.63",,,,"60","54","   60","   60","21.0","30.0","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-18","7.38"," 0044","2.58",,,,"70","56","   70","   60","18.1","29.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-19","4.92"," 1219","0.00",,,,"79","61","  140","  120","14.1","23.0","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-20","2.91"," 1228","0.05",,,,"69","57","  150","  150","13.0","21.9","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-21","2.46"," 1654","0.13",,,,"77","53","   70","  130","16.1","25.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-22","5.59"," 1721","0.00",,,,"63","55","  140","  130","13.0","18.1","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-23","6.04"," 1842","0.29",,,,"73","56","  300","  140","14.1","21.0","    1",,"    1",,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-24","6.49"," 1541","0.01",,,,"83","65","  270","  260","17.0","23.0","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-25","5.59"," 1344","0.00",,,,"87","63","  160","  110","16.1","25.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-26","6.04"," 1524","0.00",,,,"90","64","  130","  130","17.0","32.0","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-27","6.04"," 1455","0.00",,,,"88","65","  170","  130","14.1","28.0","    1",,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-28","8.28"," 1829","0.00",,,,"85","69","  160","  150","17.0","23.9",,,,,,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-29","6.71"," 1340","0.00",,,,"85","68","  180","  160","15.0","19.9",,,,,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-30","5.82"," 1400","0.22",,,,"89","70","  300","  300","12.1","18.1","    1",,"    1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2011-05-31","6.04"," 1453","0.00",,,,"90","71","  180","  120","13.0","21.0",,,,,,"    1",
