"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT04","WT08"
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-27","6.49"," 2343","0.00",,,"65","40","  300","  310","23.9","35.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-28","16.78"," 1308","0.00",,,"54","37","  320","  310","32.0","46.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-29","9.84"," 0011","0.00",,,"41","-51","  330","  340","19.9","27.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-11-30","6.26"," 0841","0.00",,,"82","-76","  360","  360","16.1","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-01","8.28"," 2138","0.64",,,"36","27","   50","   30","16.1","28.0","    1",,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-02","10.51"," 0006","0.49",,,"36","32","  360","   50","17.0","23.9","    1",,"    1",
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-03","11.18"," 1307","0.02",,,"37","31","  320","  320","25.9","35.1","    1",,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-04","5.14"," 1307","0.00",,,"41","28","  220","  170","13.0","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-05","10.07"," 1051","0.00",,,"43","32","  310","  290","23.9","33.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-06","9.84"," 2012","0.00",,,"53","30","  330","  300","19.9","28.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-07","8.95"," 1106","0.00",,,"39","27","  310","  320","17.0","23.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2019-12-08","4.03"," 1243","0.00",,,"45","23","  170","  150","15.0","25.9",,,,
